faire	il fait	il faisait	il ferait	qu'il fasse	fait	faisant	to do, to make	Qu'est-ce que tu fais? (What are you doing?) • Il fait beau (The weather is nice) • Faire du sport • Faire attention à	courant; extremely common, many idiomatic uses
avouer	il avoue	il avouait	il avouerait	qu'il avoue	avoué	avouant	to admit, to confess	Il a avoué son crime • J'avoue que j'ai tort (I admit I'm wrong) • Avouer la vérité	courant
aller à	il va	il allait	il irait	qu'il aille	allé	allant	to go to; to suit	Ce chapeau te va bien (This hat suits you) • Aller à la plage • Comment allez-vous?	courant; irregular verb, très fréquent
baisser	il baisse	il baissait	il baisserait	qu'il baisse	baissé	baissant	to lower, to decrease	Baisser la voix (lower your voice) • Les prix baissent • Baisser les yeux	courant
jurer	il jure	il jurait	il jurerait	qu'il jure	juré	jurant	to swear, to vow	Je te jure que c'est vrai (I swear it's true) • Jurer de faire qch • Il jure comme un charretier (he swears like a sailor)	courant
meubler	il meuble	il meublait	il meublerait	qu'il meuble	meublé	meublant	to furnish	Meubler un appartement • Une conversation pour meubler le silence (to fill the silence) • Un studio meublé	courant
priver de	il prive	il privait	il priverait	qu'il prive	privé	privant	to deprive of	On l'a privé de dessert • Se priver de sommeil (to deprive oneself of sleep) • Privé de liberté	courant
remplir	il remplit	il remplissait	il remplirait	qu'il remplisse	rempli	remplissant	to fill	Remplir un verre • Remplir un formulaire (fill out a form) • Remplir ses obligations	courant
retentir	il retentit	il retentissait	il retentirait	qu'il retentisse	retenti	retentissant	to resound, to ring out	Un coup de feu a retenti • Les cloches retentissent • Un cri retentit	soutenu/littéraire
réclamer	il réclame	il réclamait	il réclamerait	qu'il réclame	réclamé	réclamant	to demand, to claim; to call for	Réclamer justice • Il réclame son dû • Cette situation réclame de la prudence	courant
soumettre à	il soumet	il soumettait	il soumettrait	qu'il soumette	soumis	soumettant	to submit to, to subject to	Soumettre un projet • Se soumettre à l'autorité • Soumettre qn à un interrogatoire	soutenu
vendre	il vend	il vendait	il vendrait	qu'il vende	vendu	vendant	to sell	Vendre sa maison • À vendre (for sale) • Vendre la mèche (to let the cat out of the bag)	courant
soupçonner	il soupçonne	il soupçonnait	il soupçonnerait	qu'il soupçonne	soupçonné	soupçonnant	to suspect	Je le soupçonne de mentir • On le soupçonne d'être l'auteur • Soupçonner qn de qch	courant
sourire	il sourit	il souriait	il sourirait	qu'il sourie	souri	souriant	to smile	Elle me sourit • Sourire à la vie • La chance lui sourit (luck smiles on him)	courant
asseoir	il assoit/assied	il assoyait/asseyait	il assoirait/assiérait	qu'il assoie/asseye	assis	assoyant/asseyant	to seat, to sit down	Asseoir un enfant • S'asseoir (to sit down) • Asseoir sa réputation (establish)	courant; has two conjugation patterns
venir	il vient	il venait	il viendrait	qu'il vienne	venu	venant	to come	Viens ici! • D'où venez-vous? • Venir de faire qch (to have just done sth)	courant; irregular, très fréquent
verser	il verse	il versait	il verserait	qu'il verse	versé	versant	to pour; to pay; to shed	Verser du vin • Verser un acompte (pay a deposit) • Verser des larmes (shed tears)	courant
vider	il vide	il vidait	il viderait	qu'il vide	vidé	vidant	to empty	Vider une bouteille • Vider les lieux (vacate) • Se sentir vidé (to feel drained)	courant
viser	il vise	il visait	il viserait	qu'il vise	visé	visant	to aim; to target	Viser une cible • Viser haut (aim high) • Cette loi vise à protéger (this law aims to protect)	courant
